window1	window2	w_drift	avgFaceTEMP
scale = 1
0.300000	1.000000	0.575000	79.360931396484375
0.400000	0.000000	0.350000	78.771507263183594
0.400000	0.100000	0.375000	79.207679748535156
0.400000	0.200000	0.400000	79.122993469238281
0.400000	0.300000	0.425000	78.250526428222656
0.400000	0.400000	0.450000	74.027305603027344
0.400000	0.500000	0.475000	81.889442443847656
0.400000	0.600000	0.500000	81.026123046875000
0.400000	0.700000	0.525000	79.344367980957031
0.400000	0.800000	0.550000	79.337272644042969
0.400000	0.900000	0.575000	79.320365905761719
0.400000	1.000000	0.600000	79.177925109863281
0.500000	0.000000	0.375000	79.245948791503906
0.500000	0.100000	0.400000	79.136512756347656
0.500000	0.200000	0.425000	78.207939147949219
0.500000	0.300000	0.450000	72.992073059082031
0.500000	0.400000	0.475000	81.493835449218750
0.500000	0.500000	0.500000	81.012031555175781
0.500000	0.600000	0.525000	79.347564697265625
0.500000	0.700000	0.550000	79.322296142578125
0.500000	0.800000	0.575000	79.323028564453125
0.500000	0.900000	0.600000	79.220703125000000
0.500000	1.000000	0.625000	79.553382873535156
0.600000	0.000000	0.400000	79.106948852539062
0.600000	0.100000	0.425000	78.108940124511719
0.600000	0.200000	0.450000	72.530113220214844
0.600000	0.300000	0.475000	80.980545043945312
0.600000	0.400000	0.500000	81.023689270019531
0.600000	0.500000	0.525000	79.346290588378906
0.600000	0.600000	0.550000	79.334007263183594
0.600000	0.700000	0.575000	79.274337768554688
0.600000	0.800000	0.600000	79.214500427246094
0.600000	0.900000	0.625000	79.543479919433594
0.600000	1.000000	0.650000	79.385826110839844
0.700000	0.000000	0.425000	78.109992980957031
0.700000	0.100000	0.450000	71.781166076660156
0.700000	0.200000	0.475000	80.554756164550781
0.700000	0.300000	0.500000	80.997947692871094
0.700000	0.400000	0.525000	79.343177795410156
0.700000	0.500000	0.550000	79.336601257324219
0.700000	0.600000	0.575000	79.274955749511719
0.700000	0.700000	0.600000	79.150848388671875
0.700000	0.800000	0.625000	79.536186218261719
0.700000	0.900000	0.650000	79.356262207031250
0.700000	1.000000	0.675000	76.601219177246094
0.800000	0.000000	0.450000	71.275657653808594
0.800000	0.100000	0.475000	80.048095703125000
0.800000	0.200000	0.500000	80.995635986328125
0.800000	0.300000	0.525000	79.346473693847656
0.800000	0.400000	0.550000	79.333778381347656
0.800000	0.500000	0.575000	79.307456970214844
0.800000	0.600000	0.600000	79.116508483886719
0.800000	0.700000	0.625000	79.552947998046875
0.800000	0.800000	0.650000	79.382507324218750
0.800000	0.900000	0.675000	76.338088989257812
0.800000	1.000000	0.700000	71.398551940917969
0.900000	0.000000	0.475000	79.643577575683594
0.900000	0.100000	0.500000	80.951057434082031
0.900000	0.200000	0.525000	79.343544006347656
0.900000	0.300000	0.550000	79.321708679199219
0.900000	0.400000	0.575000	79.329338073730469
0.900000	0.500000	0.600000	79.066429138183594
0.900000	0.600000	0.625000	79.495964050292969
0.900000	0.700000	0.650000	79.397468566894531
0.900000	0.800000	0.675000	76.115364074707031
0.900000	0.900000	0.700000	70.800621032714844
0.900000	1.000000	0.725000	83.096389770507812
1.000000	0.000000	0.500000	80.929809570312500
1.000000	0.100000	0.525000	79.342720031738281
1.000000	0.200000	0.550000	79.324111938476562
1.000000	0.300000	0.575000	79.268005371093750
1.000000	0.400000	0.600000	78.720924377441406
1.000000	0.500000	0.625000	79.538391113281250
1.000000	0.600000	0.650000	79.368850708007812
1.000000	0.700000	0.675000	76.097961425781250
1.000000	0.800000	0.700000	69.860298156738281
1.000000	0.900000	0.725000	82.841903686523438
1.000000	1.000000	0.750000	80.554634094238281
scale = 2
0.000000	0.000000	0.250000	81.256042480468750
0.000000	0.100000	0.275000	78.691459655761719
0.000000	0.200000	0.300000	78.503616333007812
